,county,school_dist,total_pupil_count_all_students,total_stable_pupil_count_all_students,total_stability_rate_all_students,total_mobile_student_count_all_students,total_student_mobility_rate_all_students,total_instances_of_mobility_all_students,total_mobility_incidence_rate_all_students,students_with_disabilities_pupil_count,students_with_disabilities_stable_student_count,students_with_disabilities_stability_rate,students_with_disabilities_mobile_student_count,students_with_disabilities_student_mobility_rate,students_with_disabilities_instances_of_mobility,students_with_disabilities_mobility_incidence_rate,english_language_learners_pupil_count,english_language_learners_stable_student_count,english_language_learners_stability_rate,english_language_learners_mobile_student_count,english_language_learners_student_mobility_rate,english_language_learners_instances_of_mobility,english_language_learners_mobility_incidence_rate,economically_disadvantaged_pupil_count,economically_disadvantaged_stable_student_count,economically_disadvantaged_stability_rate,economically_disadvantaged_mobile_student_count,economically_disadvantaged_student_mobility_rate,economically_disadvantaged_instances_of_mobility,economically_disadvantaged_mobility_incidence_rate,migrant_pupil_count,migrant_stable_student_count,migrant_stability_rate,migrant_mobile_student_count,migrant_student_mobility_rate,migrant_instances_of_mobility,migrant_mobility_incidence_rate,title_1_pupil_count,title_1_stable_student_count,title_1_pupil_stability_rate,title_1_mobile_student_count,title_1_student_mobility_rate,title_1_instances_of_mobility,title_1_mobility_incidence_rate,homeless_pupil_count,homeless_stable_student_count,homeless_stability_rate,homeless_mobile_student_count,homeless_student_mobility_rate,homeless_instances_of_mobility,homeless_mobility_incidence_rate,gifted_talented_pupil_count,gifted_talented_stable_student_count,gifted_talented_stability_rate,gifted_talented_mobile_student_count,gifted_talented_student_mobility_rate,gifted_talented_instances_of_mobility,gifted_talented_mobility_incidence_rate
35,COSTILLA,CENTENNIAL R-1,269,179,66.5,90,33.5,102,37.9,20,17,85,3,15,4,20,38,34,89.5,4,10.5,4,10.5,238,161,67.6,77,32.4,87,36.6,1,1,100,0,0,0,0,269,179,66.5,90,33.5,102,37.9,47,19,40.4,28,59.6,33,70.2,0,0,0,0,0,0,0
36,COSTILLA,SIERRA GRANDE R-30,317,204,64.4,113,35.6,120,37.9,26,17,65.4,9,34.6,9,34.6,54,40,74.1,14,25.9,15,27.8,268,165,61.6,103,38.4,110,41,20,13,65,7,35,7,35,134,74,55.2,60,44.8,61,45.5,30,11,36.7,19,63.3,19,63.3,5,5,100,0,0,0,0
37,CROWLEY,CROWLEY COUNTY RE-1-J,578,382,66.1,196,33.9,203,35.1,60,35,58.3,25,41.7,26,43.3,5,2,40,3,60,3,60,419,262,62.5,157,37.5,163,38.9,2,2,100,0,0,0,0,578,382,66.1,196,33.9,203,35.1,0,0,0,0,0,0,0,11,9,81.8,2,18.2,2,18.2
38,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,480,361,75.2,119,24.8,121,25.2,50,44,88,6,12,6,12,0,0,0,0,0,0,0,212,142,67,70,33,70,33,0,0,0,0,0,0,0,178,128,71.9,50,28.1,51,28.7,0,0,0,0,0,0,0,38,35,92.1,3,7.9,3,7.9
39,DELTA,DELTA COUNTY 50(J),5630,4387,77.9,1222,21.7,1344,23.9,524,428,81.7,92,17.6,107,20.4,422,311,73.7,110,26.1,120,28.4,2821,2114,74.9,692,24.5,781,27.7,53,28,52.8,25,47.2,25,47.2,2272,1785,78.6,475,20.9,525,23.1,61,15,24.6,45,73.8,52,85.2,333,316,94.9,17,5.1,17,5.1
40,DENVER,DENVER COUNTY 1,88761,64903,73.1,23124,26.1,27685,31.2,8815,6798,77.1,1944,22.1,2493,28.3,31131,24032,77.2,6919,22.2,8116,26.1,60056,47096,78.4,12398,20.6,15623,26,30,27,90,3,10,3,10,61769,44095,71.4,16980,27.5,20896,33.8,2080,1038,49.9,960,46.2,1299,62.5,11416,10028,87.8,1344,11.8,1606,14.1
41,DOLORES,DOLORES COUNTY RE NO.2,318,229,72,89,28,91,28.6,25,16,64,9,36,9,36,0,0,0,0,0,0,0,146,102,69.9,44,30.1,45,30.8,0,0,0,0,0,0,0,161,119,73.9,42,26.1,43,26.7,0,0,0,0,0,0,0,11,11,100,0,0,0,0
42,DOUGLAS,DOUGLAS COUNTY RE 1,66965,55140,82.3,11722,17.5,12396,18.5,5677,4896,86.2,773,13.6,854,15,3254,2026,62.3,1225,37.6,1297,39.9,7219,5364,74.3,1852,25.7,1913,26.5,7,1,14.3,6,85.7,6,85.7,1644,935,56.9,709,43.1,763,46.4,678,399,58.8,276,40.7,335,49.4,4022,3733,92.8,286,7.1,303,7.5
43,EAGLE,EAGLE COUNTY RE 50,6749,5472,81.1,1261,18.7,1365,20.2,584,507,86.8,76,13,88,15.1,2428,1965,80.9,455,18.7,505,20.8,2834,2278,80.4,547,19.3,612,21.6,28,22,78.6,6,21.4,6,21.4,1970,1602,81.3,361,18.3,406,20.6,87,42,48.3,45,51.7,50,57.5,527,462,87.7,65,12.3,68,12.9
44,ELBERT,ELIZABETH C-1,2804,2090,74.5,711,25.4,736,26.2,287,209,72.8,77,26.8,83,28.9,51,36,70.6,15,29.4,15,29.4,482,349,72.4,132,27.4,141,29.3,0,0,0,0,0,0,0,78,69,88.5,9,11.5,9,11.5,0,0,0,0,0,0,0,208,190,91.3,18,8.7,20,9.6
45,ELBERT,KIOWA C-2,437,323,73.9,114,26.1,115,26.3,40,32,80,8,20,8,20,14,12,85.7,2,14.3,2,14.3,161,130,80.7,31,19.3,31,19.3,0,0,0,0,0,0,0,48,40,83.3,8,16.7,8,16.7,2,1,50,1,50,1,50,16,12,75,4,25,4,25
46,ELBERT,BIG SANDY 100J,350,241,68.9,109,31.1,111,31.7,43,24,55.8,19,44.2,19,44.2,6,0,0,6,100,6,100,36,2,5.6,34,94.4,34,94.4,0,0,0,0,0,0,0,242,164,67.8,78,32.2,79,32.6,0,0,0,0,0,0,0,19,19,100,0,0,0,0
47,ELBERT,ELBERT 200,232,166,71.6,66,28.4,68,29.3,16,13,81.3,3,18.8,3,18.8,4,3,75,1,25,1,25,73,37,50.7,36,49.3,36,49.3,0,0,0,0,0,0,0,22,19,86.4,3,13.6,3,13.6,0,0,0,0,0,0,0,8,7,87.5,1,12.5,1,12.5
48,ELBERT,AGATE 300,16,5,31.3,13,81.3,13,81.3,3,1,33.3,3,100,3,100,1,0,0,1,100,1,100,13,3,23.1,11,84.6,11,84.6,0,0,0,0,0,0,0,11,5,45.5,7,63.6,7,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,EL PASO,CALHAN RJ-1,645,404,62.6,291,45.1,304,47.1,63,44,69.8,23,36.5,23,36.5,1,1,100,0,0,0,0,209,145,69.4,81,38.8,88,42.1,0,0,0,0,0,0,0,67,53,79.1,26,38.8,29,43.3,0,0,0,0,0,0,0,30,26,86.7,5,16.7,5,16.7
50,EL PASO,HARRISON 2,13926,7941,57,5872,42.2,6343,45.5,1208,727,60.2,473,39.2,528,43.7,2019,1503,74.4,493,24.4,561,27.8,9691,5814,60,3779,39,4172,43.1,1,0,0,1,100,1,100,7173,4034,56.2,3065,42.7,3355,46.8,60,13,21.7,47,78.3,51,85,486,426,87.7,58,11.9,62,12.8
51,EL PASO,WIDEFIELD 3,10617,7215,68,3380,31.8,3687,34.7,1174,891,75.9,281,23.9,320,27.3,297,195,65.7,99,33.3,114,38.4,4532,3289,72.6,1231,27.2,1390,30.7,3,2,66.7,1,33.3,1,33.3,552,412,74.6,139,25.2,151,27.4,93,28,30.1,64,68.8,76,81.7,273,238,87.2,34,12.5,42,15.4
52,EL PASO,FOUNTAIN 8,9827,5302,54,4489,45.7,4738,48.2,1043,649,62.2,393,37.7,422,40.5,564,312,55.3,251,44.5,260,46.1,4283,2466,57.6,1796,41.9,1934,45.2,3,3,100,0,0,0,0,2031,971,47.8,1046,51.5,1129,55.6,323,148,45.8,173,53.6,194,60.1,431,304,70.5,126,29.2,133,30.9
53,EL PASO,COLORADO SPRINGS 11,34548,23868,69.1,10560,30.6,12693,36.7,2465,1757,71.3,700,28.4,934,37.9,3558,2509,70.5,1038,29.2,1239,34.8,18399,12100,65.8,6200,33.7,7456,40.5,23,13,56.5,10,43.5,11,47.8,5869,3994,68.1,1826,31.1,2184,37.2,1567,757,48.3,789,50.4,1019,65,2878,2519,87.5,355,12.3,428,14.9
54,EL PASO,CHEYENNE MOUNTAIN 12,5059,3785,74.8,1274,25.2,1300,25.7,276,223,80.8,53,19.2,56,20.3,190,132,69.5,58,30.5,60,31.6,814,553,67.9,261,32.1,268,32.9,0,0,0,0,0,0,0,982,685,69.8,297,30.2,299,30.4,5,2,40,3,60,3,60,637,583,91.5,54,8.5,54,8.5
55,EL PASO,MANITOU SPRINGS 14,1682,1146,68.1,537,31.9,537,31.9,113,85,75.2,28,24.8,28,24.8,9,8,88.9,1,11.1,1,11.1,473,314,66.4,159,33.6,159,33.6,0,0,0,0,0,0,0,100,75,75,25,25,25,25,3,0,0,3,100,3,100,111,99,89.2,12,10.8,12,10.8
56,EL PASO,ACADEMY 20,25881,20007,77.3,5853,22.6,6077,23.5,1898,1528,80.5,368,19.4,395,20.8,561,363,64.7,197,35.1,205,36.5,3722,2572,69.1,1144,30.7,1224,32.9,0,0,0,0,0,0,0,263,197,74.9,65,24.7,69,26.2,28,21,75,7,25,7,25,2667,2405,90.2,262,9.8,264,9.9
57,EL PASO,ELLICOTT 22,1233,736,59.7,496,40.2,506,41,160,89,55.6,71,44.4,74,46.3,107,88,82.2,19,17.8,19,17.8,793,492,62,300,37.8,305,38.5,2,2,100,0,0,0,0,538,355,66,183,34,183,34,0,0,0,0,0,0,0,35,30,85.7,5,14.3,5,14.3
58,EL PASO,PEYTON 23 JT,734,562,76.6,172,23.4,182,24.8,62,49,79,13,21,14,22.6,8,5,62.5,3,37.5,3,37.5,216,153,70.8,63,29.2,70,32.4,3,2,66.7,1,33.3,1,33.3,377,290,76.9,87,23.1,91,24.1,2,2,100,0,0,0,0,33,32,97,1,3,2,6.1
59,EL PASO,HANOVER 28,292,143,49,149,51,154,52.7,32,19,59.4,13,40.6,13,40.6,32,16,50,16,50,16,50,227,104,45.8,123,54.2,128,56.4,12,7,58.3,5,41.7,5,41.7,292,143,49,149,51,154,52.7,31,14,45.2,17,54.8,18,58.1,6,4,66.7,2,33.3,2,33.3
60,EL PASO,LEWIS-PALMER 38,6422,5105,79.5,1312,20.4,1365,21.3,517,428,82.8,89,17.2,93,18,310,250,80.6,60,19.4,64,20.6,725,520,71.7,204,28.1,222,30.6,0,0,0,0,0,0,0,91,68,74.7,23,25.3,23,25.3,5,1,20,4,80,4,80,900,830,92.2,69,7.7,74,8.2
61,EL PASO,FALCON 49,17388,12379,71.2,5031,28.9,5301,30.5,1590,1207,75.9,379,23.8,413,26,618,449,72.7,168,27.2,179,29,3593,2666,74.2,914,25.4,993,27.6,0,0,0,0,0,0,0,2759,1810,65.6,931,33.7,983,35.6,24,13,54.2,11,45.8,14,58.3,584,522,89.4,68,11.6,70,12
