county,school_dist,pupil_total,stable,mobile,mobile_instances,disabled_pupil_total,disabled_stable,disabled_mobile,disabled_mobile_instances,limited_eng_pupil_total,limited_eng_stable,limited_eng_mobile,limited_eng_mobile_instances,poor_pupil_total,poor_stable,poor_mobile,poor_mobile_instances,migrant_pupil_total,migrant_stable,migrant_mobile,migrant_mobile_instances,title_1_pupil_total,title_1_stable,title_1_mobile,title_1_mobile_instances,homeless_pupil_total,homeless_stable,homeless_mobile,homeless_mobile_instances,gifted_pupil_total,gifted_stable,gifted_mobile,gifted_mobile_instances,female_pupil_total,female_stable,female_mobile,female_mobile_instances,male_pupil_total,male_stable,male_mobile,male_mobile_instances,asian_pupil_total,asian_stable,asian_mobile,asian_mobile_instances,black_pupil_total,black_stable,black_mobile,black_mobile_instances,hispanic_pupil_total,hispanic_stable,hispanic_mobile,hispanic_mobile_instances,white_pupil_total,white_stable,white_mobile,white_mobile_instances,disabled_grad_base_total,disabled_graduated,disabled_completed,limited_eng_grad_base_total,limited_eng_graduated,limited_eng_completed,poor_grad_base_total,poor_graduated,poor_completed,migrant_grad_base_total,migrant_graduated,migrant_completed,title_1_grad_base_total,title_1_graduated,title_1_completed,homeless_grad_base_total,homeless_graduated,homeless_completed,gifted_grad_base_total,gifted_graduated,gifted_completed
DENVER,DENVER COUNTY 1,88761,64903,23124,27685,8815,6798,1944,2493,31131,24032,6919,8116,60056,47096,12398,15623,30,27,3,3,61769,44095,16980,20896,2080,1038,960,1299,11416,10028,1344,1606,43680,32063,11248,13251,45081,32840,11876,14434,2991,2203,782,870,13047,8868,4015,5004,51304,38413,12468,15171,17845,12952,4799,5383,614,235,254,1000,527,543,3745,2010,2153,42,21,23,3581,1893,2036,283,95,106,905,720,747
DOLORES,DOLORES COUNTY RE NO.2,318,229,89,91,25,16,9,9,0,0,0,0,146,102,44,45,0,0,0,0,161,119,42,43,0,0,0,0,11,11,0,0,156,116,40,41,162,113,49,50,0,0,0,0,1,1,0,0,21,9,12,13,266,202,64,65,1,1,1,0,0,0,11,9,10,0,0,0,2,2,2,0,0,0,1,1,1
DOUGLAS,DOUGLAS COUNTY RE 1,66965,55140,11722,12396,5677,4896,773,854,3254,2026,1225,1297,7219,5364,1852,1913,7,1,6,6,1644,935,709,763,678,399,276,335,4022,3733,286,303,32803,27070,5682,5992,34162,28070,6040,6404,2606,2157,445,486,1546,917,627,670,9325,6706,2605,2780,50557,43000,7481,7856,331,220,227,82,61,62,534,346,368,1,0,0,329,252,265,79,44,49,266,262,265
EAGLE,EAGLE COUNTY RE 50,6749,5472,1261,1365,584,507,76,88,2428,1965,455,505,2834,2278,547,612,28,22,6,6,1970,1602,361,406,87,42,45,50,527,462,65,68,3205,2631,568,621,3544,2841,693,744,67,57,10,12,25,19,6,6,3327,2711,605,665,3198,2584,610,647,31,18,18,142,68,68,149,113,113,2,2,2,1,0,0,11,7,7,45,43,44
ELBERT,ELIZABETH C-1,2804,2090,711,736,287,209,77,83,51,36,15,15,482,349,132,141,0,0,0,0,78,69,9,9,0,0,0,0,208,190,18,20,1362,1031,329,343,1442,1059,382,393,22,9,13,13,20,8,12,12,273,195,78,82,2396,1819,574,594,12,10,10,4,1,1,36,29,29,0,0,0,0,0,0,0,0,0,24,23,23
ELBERT,KIOWA C-2,437,323,114,115,40,32,8,8,14,12,2,2,161,130,31,31,0,0,0,0,48,40,8,8,2,1,1,1,16,12,4,4,218,157,61,62,219,166,53,53,3,3,0,0,5,4,1,1,38,25,13,13,376,283,93,94,1,1,1,2,2,2,10,10,10,0,0,0,0,0,0,2,2,2,1,1,1
ELBERT,BIG SANDY 100J,350,241,109,111,43,24,19,19,6,0,6,6,36,2,34,34,0,0,0,0,242,164,78,79,0,0,0,0,19,19,0,0,168,118,50,51,182,123,59,60,4,0,4,4,0,0,0,0,52,24,28,29,274,201,73,73,4,4,4,0,0,0,14,13,13,0,0,0,0,0,0,0,0,0,0,0,0
ELBERT,ELBERT 200,232,166,66,68,16,13,3,3,4,3,1,1,73,37,36,36,0,0,0,0,22,19,3,3,0,0,0,0,8,7,1,1,109,81,28,28,123,85,38,40,4,4,0,0,1,0,1,1,12,7,5,5,201,151,50,52,2,1,1,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,3,3,3
ELBERT,AGATE 300,16,5,13,13,3,1,3,3,1,0,1,1,13,3,11,11,0,0,0,0,11,5,7,7,0,0,0,0,0,0,0,0,11,2,9,9,5,3,4,4,0,0,0,0,0,0,0,0,3,0,3,3,13,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL PASO,CALHAN RJ-1,645,404,291,304,63,44,23,23,1,1,0,0,209,145,81,88,0,0,0,0,67,53,26,29,0,0,0,0,30,26,5,5,333,210,145,154,312,194,146,150,12,7,5,5,7,4,3,3,63,30,42,45,550,356,235,245,5,4,4,0,0,0,23,21,21,0,0,0,6,6,6,1,1,1,5,5,5
EL PASO,HARRISON 2,13926,7941,5872,6343,1208,727,473,528,2019,1503,493,561,9691,5814,3779,4172,1,0,1,1,7173,4034,3065,3355,60,13,47,51,486,426,58,62,6857,3988,2818,3027,7069,3953,3054,3316,752,370,379,406,2336,1482,837,913,5514,3374,2085,2286,4815,2424,2357,2506,48,28,28,66,44,44,385,287,293,1,1,1,6,4,4,8,6,6,48,44,44
EL PASO,WIDEFIELD 3,10617,7215,3380,3687,1174,891,281,320,297,195,99,114,4532,3289,1231,1390,3,2,1,1,552,412,139,151,93,28,64,76,273,238,34,42,5176,3514,1651,1792,5441,3701,1729,1895,150,109,41,43,1201,768,431,473,2665,1825,835,925,5552,3802,1735,1878,81,41,43,9,6,6,257,183,190,0,0,0,9,4,5,24,13,14,14,12,12
EL PASO,FOUNTAIN 8,9827,5302,4489,4738,1043,649,393,422,564,312,251,260,4283,2466,1796,1934,3,3,0,0,2031,971,1046,1129,323,148,173,194,431,304,126,133,4718,2475,2225,2351,5109,2827,2264,2387,178,85,89,97,1363,719,635,659,2162,1213,941,988,5273,2803,2456,2609,32,23,23,9,8,8,161,122,124,0,0,0,3,2,2,39,26,26,1,1,1
EL PASO,COLORADO SPRINGS 11,34548,23868,10560,12693,2465,1757,700,934,3558,2509,1038,1239,18399,12100,6200,7456,23,13,10,11,5869,3994,1826,2184,1567,757,789,1019,2878,2519,355,428,16867,11741,5070,6105,17681,12127,5490,6588,641,453,186,215,2709,1555,1140,1384,10087,6925,3116,3828,18129,12880,5203,6179,189,66,69,125,60,63,1142,621,678,1,0,0,47,17,20,88,34,37,250,225,231
EL PASO,CHEYENNE MOUNTAIN 12,5059,3785,1274,1300,276,223,53,56,190,132,58,60,814,553,261,268,0,0,0,0,982,685,297,299,5,2,3,3,637,583,54,54,2511,1872,639,652,2548,1913,635,648,170,134,36,36,146,88,58,58,704,472,232,233,3798,2923,875,899,20,16,17,2,2,2,30,23,24,0,0,0,1,1,1,1,0,0,62,61,61
EL PASO,MANITOU SPRINGS 14,1682,1146,537,537,113,85,28,28,9,8,1,1,473,314,159,159,0,0,0,0,100,75,25,25,3,0,3,3,111,99,12,12,818,559,260,260,864,587,277,277,16,11,5,5,6,5,1,1,158,117,41,41,1406,958,449,449,5,5,5,0,0,0,44,37,41,0,0,0,1,1,1,0,0,0,11,11,11
EL PASO,ACADEMY 20,25881,20007,5853,6077,1898,1528,368,395,561,363,197,205,3722,2572,1144,1224,0,0,0,0,263,197,65,69,28,21,7,7,2667,2405,262,264,12613,9738,2865,2968,13268,10269,2988,3109,954,742,212,222,843,559,283,296,3151,2266,883,914,19372,15316,4038,4189,111,65,69,28,21,21,276,210,216,0,0,0,2,2,2,11,6,6,294,287,290
EL PASO,ELLICOTT 22,1233,736,496,506,160,89,71,74,107,88,19,19,793,492,300,305,2,2,0,0,538,355,183,183,0,0,0,0,35,30,5,5,582,344,237,241,651,392,259,265,5,0,5,5,31,8,23,24,256,182,74,75,891,515,375,382,4,1,1,1,1,1,37,30,31,1,1,1,24,23,23,2,1,1,1,1,1
EL PASO,PEYTON 23 JT,734,562,172,182,62,49,13,14,8,5,3,3,216,153,63,70,3,2,1,1,377,290,87,91,2,2,0,0,33,32,1,2,349,266,83,86,385,296,89,96,5,3,2,2,6,2,4,4,67,42,25,28,621,495,126,132,4,4,4,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,2,2,2
EL PASO,HANOVER 28,292,143,149,154,32,19,13,13,32,16,16,16,227,104,123,128,12,7,5,5,292,143,149,154,31,14,17,18,6,4,2,2,152,74,78,82,140,69,71,72,3,0,3,3,9,0,9,9,114,65,49,53,160,74,86,87,2,2,2,2,2,2,12,10,10,1,1,1,14,12,12,2,2,2,0,0,0
EL PASO,LEWIS-PALMER 38,6422,5105,1312,1365,517,428,89,93,310,250,60,64,725,520,204,222,0,0,0,0,91,68,23,23,5,1,4,4,900,830,69,74,3062,2407,652,682,3360,2698,660,683,182,145,37,38,67,44,23,23,621,476,145,151,5241,4176,1060,1104,33,16,16,11,11,11,51,40,40,0,0,0,2,1,1,1,1,1,85,82,84
